artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Tyler Rich,Leave Her Wild,4oFAJvXFB2W9FWgaww9cQo,66,0.395,0.75,0,-5.104,1,0.0552,0.046,0.0,0.128,0.532,173.918,audio_features,4oFAJvXFB2W9FWgaww9cQo,spotify:track:4oFAJvXFB2W9FWgaww9cQo,https://api.spotify.com/v1/tracks/4oFAJvXFB2W9FWgaww9cQo,https://api.spotify.com/v1/audio-analysis/4oFAJvXFB2W9FWgaww9cQo,199107,4
Praxeye,2020,35weqgtQrRulbbJfMtrwHw,1,0.466,0.705,9,-6.814,1,0.476,0.774,0.0,0.216,0.903,204.032,audio_features,35weqgtQrRulbbJfMtrwHw,spotify:track:35weqgtQrRulbbJfMtrwHw,https://api.spotify.com/v1/tracks/35weqgtQrRulbbJfMtrwHw,https://api.spotify.com/v1/audio-analysis/35weqgtQrRulbbJfMtrwHw,96458,4
WHOKILLEDXIX,spy?,0QsZ3W21xNvnUnUMbiAY4z,68,0.87,0.565,11,-5.356,0,0.0581,0.0631,0.0579,0.104,0.646,100.041,audio_features,0QsZ3W21xNvnUnUMbiAY4z,spotify:track:0QsZ3W21xNvnUnUMbiAY4z,https://api.spotify.com/v1/tracks/0QsZ3W21xNvnUnUMbiAY4z,https://api.spotify.com/v1/audio-analysis/0QsZ3W21xNvnUnUMbiAY4z,153922,4
Allen Watts,Skyline (Mixed),4H5sKoc66EzGdJ4LG1cx1f,15,0.384,0.996,6,-9.399,0,0.145,2.41e-06,0.984,0.309,0.455,137.996,audio_features,4H5sKoc66EzGdJ4LG1cx1f,spotify:track:4H5sKoc66EzGdJ4LG1cx1f,https://api.spotify.com/v1/tracks/4H5sKoc66EzGdJ4LG1cx1f,https://api.spotify.com/v1/audio-analysis/4H5sKoc66EzGdJ4LG1cx1f,48693,4
Morgan Wallen,Somebody’s Problem,0SErdEdRcVX1uJCf1eTGYH,65,0.657,0.54,5,-7.675,1,0.0287,0.662,0.0,0.123,0.625,136.97,audio_features,0SErdEdRcVX1uJCf1eTGYH,spotify:track:0SErdEdRcVX1uJCf1eTGYH,https://api.spotify.com/v1/tracks/0SErdEdRcVX1uJCf1eTGYH,https://api.spotify.com/v1/audio-analysis/0SErdEdRcVX1uJCf1eTGYH,161773,4
Mvttie,Year 3000,21mXStLNUDb7CDMi4FmEvi,7,0.835,0.15,1,-12.308,1,0.0528,0.885,0.0,0.106,0.489,93.979,audio_features,21mXStLNUDb7CDMi4FmEvi,spotify:track:21mXStLNUDb7CDMi4FmEvi,https://api.spotify.com/v1/tracks/21mXStLNUDb7CDMi4FmEvi,https://api.spotify.com/v1/audio-analysis/21mXStLNUDb7CDMi4FmEvi,170904,4
KYSLINGO,The Law of Recognition,4DPYOF6Tvptit1xDUbOo8o,67,0.888,0.248,10,-11.965,0,0.259,0.288,0.0441,0.143,0.134,111.984,audio_features,4DPYOF6Tvptit1xDUbOo8o,spotify:track:4DPYOF6Tvptit1xDUbOo8o,https://api.spotify.com/v1/tracks/4DPYOF6Tvptit1xDUbOo8o,https://api.spotify.com/v1/audio-analysis/4DPYOF6Tvptit1xDUbOo8o,129143,4
HammerFall,Always Will Be - 2020 Remix,23iw1hSrTGnpFsBoiO8H9V,21,0.526,0.551,8,-7.73,0,0.0284,0.0333,0.0,0.0602,0.357,133.956,audio_features,23iw1hSrTGnpFsBoiO8H9V,spotify:track:23iw1hSrTGnpFsBoiO8H9V,https://api.spotify.com/v1/tracks/23iw1hSrTGnpFsBoiO8H9V,https://api.spotify.com/v1/audio-analysis/23iw1hSrTGnpFsBoiO8H9V,289053,4
Bad Bunny,Pero Ya No,75pQqzwgCjUOSSy5CpmAjy,73,0.882,0.612,4,-6.103,1,0.118,0.0475,5.07e-06,0.182,0.742,147.982,audio_features,75pQqzwgCjUOSSy5CpmAjy,spotify:track:75pQqzwgCjUOSSy5CpmAjy,https://api.spotify.com/v1/tracks/75pQqzwgCjUOSSy5CpmAjy,https://api.spotify.com/v1/audio-analysis/75pQqzwgCjUOSSy5CpmAjy,160638,4
HammerFall,Living In Victory - 2020 Remix,7ixFbsGitdabVULP5AwZYM,20,0.497,0.968,1,-5.886,1,0.0643,4.32e-05,0.000118,0.101,0.451,137.971,audio_features,7ixFbsGitdabVULP5AwZYM,spotify:track:7ixFbsGitdabVULP5AwZYM,https://api.spotify.com/v1/tracks/7ixFbsGitdabVULP5AwZYM,https://api.spotify.com/v1/audio-analysis/7ixFbsGitdabVULP5AwZYM,282365,4
Miley Cyrus,Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,71,0.551,0.756,2,-4.948,1,0.0652,0.0511,0.0,0.0765,0.618,175.984,audio_features,6qCsKKS7Ol63SJW3LOIX5R,spotify:track:6qCsKKS7Ol63SJW3LOIX5R,https://api.spotify.com/v1/tracks/6qCsKKS7Ol63SJW3LOIX5R,https://api.spotify.com/v1/audio-analysis/6qCsKKS7Ol63SJW3LOIX5R,205733,4
Carin Leon,El Amor De Tu Vida,5HpXH64cSBNu26yhw3vK37,74,0.542,0.489,8,-7.89,1,0.0573,0.378,0.0,0.123,0.674,125.336,audio_features,5HpXH64cSBNu26yhw3vK37,spotify:track:5HpXH64cSBNu26yhw3vK37,https://api.spotify.com/v1/tracks/5HpXH64cSBNu26yhw3vK37,https://api.spotify.com/v1/audio-analysis/5HpXH64cSBNu26yhw3vK37,163224,3
