artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']",Classic,6FE2iI43OZnszFLuLtvvmg,82,2012,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
Maroon 5,['pop'],One More Night,4XNrMwGx1SqP01sqkGTDmo,72,2012,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
Bruno Mars,"['dance pop', 'pop']",When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,86,2012,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
Lana Del Rey,"['art pop', 'pop']",Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,72,2012,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,265427,4
Bruno Mars,"['dance pop', 'pop']",Treasure,55h7vJchibLdUkxdlX3fK7,80,2012,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4
Imagine Dragons,"['modern rock', 'rock']",Demons,3LlAyCYU26dvFZBDUIMb7a,75,2012,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,4
Pitbull,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,78,2012,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
The Script,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'uk pop']",Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,69,2012,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,78,2012,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,154667,4
The Lumineers,"['folk-pop', 'stomp and holler']",Ho Hey,0W4Kpfp1w2xkY3PrV714B7,75,2012,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Stay - Album Version (Edited),789CxjEOtO76BVD1A9yJQH,71,2012,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",I Don't Like,1h6kgem1ai8vUgO1rZOwfB,73,2012,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,4
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",Drive By,0KAiuUOrLTIkzkpfpn9jb9,78,2012,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,73,2012,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,230693,4
The Lumineers,"['folk-pop', 'stomp and holler']",Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,71,2012,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,279000,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Love Sosa,01Lr5YepbgjXAWR9iOEyH1,81,2012,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4
Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Cruise,0i5el041vd6nxrGEU8QRxy,74,2012,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
Lana Del Rey,"['art pop', 'pop']",Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,75,2012,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
Grimes,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",Genesis,3cjvqsvvU80g7WJPMVh8iq,66,2012,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,255320,4
Katy Perry,"['dance pop', 'pop']",The One That Got Away,3oL3XRtkP1WVbMxf7dtTdu,75,2012,0.687,0.792,1,-4.023,0,0.0353,0.000802,0.0,0.2,0.864,133.962,227333,4
Kanye West,"['chicago rap', 'rap']",Mercy,4qikXelSRKvoCqFcHLB2H2,73,2012,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,329320,4
Grimes,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",Oblivion,3LGsgpx4TfxhXbr07OFKqs,67,2012,0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,251267,4
Swedish House Mafia,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,79,2012,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'pop', 'shoegaze']",Nothing's Gonna Hurt You Baby,3GhsBdS9ulPK3KCdwHRPhG,69,2012,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,286293,4
Mitski,"['brooklyn indie', 'indie pop', 'pop']",Liquid Smooth,3XCveEutwTaDiekRkkfdp9,73,2012,0.424,0.342,7,-9.469,0,0.0339,0.838,0.0,0.136,0.124,76.235,169773,4
Harmless,['modern dream pop'],Swing Lynn,3VCXx37jNGNOMns6z2OnvJ,76,2012,0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,321438,4
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Morning,6u0dQik0aif7FQlrhycG1L,72,2012,0.652,0.549,6,-7.555,0,0.039,0.317,0.0,0.104,0.186,120.073,312427,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",m.A.A.d city,2cDCojn6uIBM6A5xTAbl3H,68,2012,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
Owl City,"['indietronica', 'pop', 'pop rock']",Good Time,1kPpge9JDLpcj15qgrPbYX,77,2012,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Wicked Games,6VwBbL8CzPiC4QV66ay7oR,74,2012,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,323747,4
Justin Bieber,"['canadian pop', 'pop']",Beauty And A Beat,190jyVPHYjAqEaOGmMzdyk,75,2012,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,227987,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Pyramids,4QhWbupniDd44EDtnh2bFJ,73,2012,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Girl on Fire,4esOae7i4rqTbAu9o5Pxco,77,2012,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4
Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",Transgender,26ZzSLUJMmYp5u1hDELEWH,75,2012,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,184760,3
Lana Del Rey,"['art pop', 'pop']",Video Games,24jvD83UgLmrdGjhWTFslY,71,2012,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847,281960,5
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Stay,1dEy9Pl81QopSxNsPxXQxv,68,2012,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4
Katy Perry,"['dance pop', 'pop']",California Gurls,6tS3XVuOyu10897O3ae7bi,77,2012,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Pink Matter,1fOkmYW3ZFkkjIdOZSf596,71,2012,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,268813,3
Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",Pursuit Of Happiness - Extended Steve Aoki Remix,5PX4uS1LqlWEPL69phPVQQ,76,2012,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,4
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,78,2012,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,77,2012,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Diamonds,1z9kQ14XBSN0r2v6fx4IdG,68,2012,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,69,2012,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4
Imagine Dragons,"['modern rock', 'rock']",It's Time,6BtmXhTJMM9sBTHeYYASGz,67,2012,0.656,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,237987,4
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Whistle,3bC1ahPIYt1btJzSSEyyrF,78,2012,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
Pierce The Veil,[],Bulls In The Bronx,23UoI3jlFiWdo5jadUYo69,70,2012,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,267867,4
Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Adorn,25cUhiAod71TIQSNicOaW3,68,2012,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147,4
MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",Primadonna,4sOX1nhpKwFWPvoMMExi3q,75,2012,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075,4
Alex G,"['indie pop', 'philly indie']",Mary,5T0Ib1Hjhsua7qbGTczU7j,70,2012,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,197733,4
Imagine Dragons,"['modern rock', 'rock']",On Top Of The World,6KuHjfXHkfnIjdmcIvt9r0,70,2012,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,189840,4
Olly Murs,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,75,2012,0.762,0.863,0,-3.689,0,0.0561,0.015,0.0,0.125,0.965,106.012,185587,4
Maroon 5,['pop'],Payphone,4P0osvTXoSYZZC2n8IFH3c,71,2012,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",m.A.A.d city,439TlnnznSiBbQbgXiBqAd,69,2012,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
Taylor Swift,['pop'],I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,78,2012,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
Lord Huron,"['indie folk', 'stomp and holler']",Ends of the Earth,4yyg2J2uXOjCtCyT64984C,69,2012,0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,284147,4
Pierce The Veil,[],Hell Above,3EKh7JNsBrGoh2xqPotBKT,69,2012,0.48,0.977,6,-1.993,1,0.117,0.000463,2.82e-06,0.355,0.331,129.999,223547,4
Mumford & Sons,"['modern folk rock', 'stomp and holler', 'uk americana']",I Will Wait,0hm8rgOY17z7kQJlqGKbu7,70,2012,0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720,4
Bridgit Mendler,"['dance pop', 'pop', 'post-teen pop']",Ready or Not,5xvUgoVED1F4mBu8FL0HaW,73,2012,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,200947,4
Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,70,2012,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166,3
Travis Porter,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",Ayy Ladies (feat. Tyga),4P6BuLsqtg5uISdE77ypI9,68,2012,0.905,0.782,10,-3.604,0,0.164,0.096,0.0,0.0623,0.798,96.055,211293,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,73,2012,0.82,0.47,8,-7.181,1,0.0458,0.00435,0.0,0.141,0.313,132.003,280173,4
Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,80,2012,0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,258432,4
The Lumineers,"['folk-pop', 'stomp and holler']",Flowers in Your Hair,3Hvg5tRKsQlX25wYwgMF9p,68,2012,0.67,0.609,7,-10.088,1,0.0333,0.749,6.74e-05,0.227,0.573,127.463,109736,4
Alex G,"['indie pop', 'philly indie']",16 Mirrors,5reWDqtIJUihfccbvQZx6C,67,2012,0.564,0.3,2,-7.349,1,0.0887,0.632,0.0022,0.101,0.0487,121.888,87093,4
Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,77,2012,0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613,4
Uncle Lucius,"['roots rock', 'texas country']",Keep The Wolves Away,1u7J5sEfgOVRt5bkfU2oGV,70,2012,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,4
Kip Moore,"['contemporary country', 'country', 'country road', 'modern country rock']",Somethin' 'Bout A Truck,6Ymvlzom4TQeoKqAWsZRD8,68,2012,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,213827,4
Lee Brice,"['contemporary country', 'country', 'country road']",Hard To Love,6E9V9TRlVOLjenGjHemzEH,69,2012,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Skyfall,6VObnIkLVruX4UVyxWhlqm,77,2012,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480,4
Cher Lloyd,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'talent show', 'uk pop']",Want U Back,6E11E0lT5Zy7yb6iT3y8DN,66,2012,0.694,0.891,9,-2.94,1,0.0949,0.0562,0.0,0.561,0.563,97.939,214573,4
Passion Pit,"['alternative dance', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,68,2012,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,264493,4
Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk pop']",Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,65,2012,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4
Tame Impala,"['australian psych', 'neo-psychedelic']",Elephant,6qZjm61s6u8Ead9sWxCDro,72,2012,0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,211227,4
Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",Turning Page,2kfGoV9a5dbSKCNmUWH2ZF,72,2012,0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,255893,3
Owl City,"['indietronica', 'pop', 'pop rock']","When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",5ZkAx8zjLiSs1nMmBwJoZS,68,2012,0.638,0.831,11,-6.812,0,0.081,0.0263,0.0,0.0491,0.388,127.975,218093,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Pour It Up,76VtA90NKurNqaQpV126Ue,65,2012,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002,161200,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Sing About Me, I'm Dying Of Thirst",3q2v8QaTnHLveAQzR6gvYm,63,2012,0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-05,0.13,0.371,110.722,723573,5
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Money Trees,0AOvNRgl0SMfOibWA5bP8o,65,2012,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Forrest Gump,4YZbVct8l9MnAVIROnLQdx,68,2012,0.701,0.417,6,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,194840,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Sweet Life,6MEDfjHxnVNcYmHe3mM6L2,67,2012,0.479,0.558,11,-6.074,1,0.179,0.227,0.0,0.0808,0.8,83.465,262680,4
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",House Of Balloons / Glass Table Girls,50iiDJGpAPdr2VTrz999XA,70,2012,0.65,0.711,0,-5.417,1,0.0377,0.0123,0.00943,0.301,0.319,89.019,405213,4
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",High For This,5fohLPNqO6TqwrZ7BoUWUT,72,2012,0.465,0.403,11,-8.895,0,0.0755,0.744,0.000667,0.0777,0.0687,74.95,247227,4
