,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
46,Taylor Swift,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,73,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,audio_features,59HjlYCeBsxdI0fcm3zglw,spotify:track:59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw,220440,4
47,William Elliott Whitmore,Diggin' my Grave,5n8g08knh3A7mlGCueI1OR,31,0.682,0.519,9,-7.75,1,0.0639,0.773,0.0,0.136,0.522,135.904,audio_features,5n8g08knh3A7mlGCueI1OR,spotify:track:5n8g08knh3A7mlGCueI1OR,https://api.spotify.com/v1/tracks/5n8g08knh3A7mlGCueI1OR,https://api.spotify.com/v1/audio-analysis/5n8g08knh3A7mlGCueI1OR,251853,4
48,Lana Del Rey,Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz,81,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,audio_features,1NZs6n6hl8UuMaX0UC0YTz,spotify:track:1NZs6n6hl8UuMaX0UC0YTz,https://api.spotify.com/v1/tracks/1NZs6n6hl8UuMaX0UC0YTz,https://api.spotify.com/v1/audio-analysis/1NZs6n6hl8UuMaX0UC0YTz,351640,4
49,Joey Pecoraro,Year 2444,52lQqbiohjKjNlFDJW9tdk,21,0.61,0.311,1,-11.153,0,0.085,0.888,0.909,0.105,0.399,80.973,audio_features,52lQqbiohjKjNlFDJW9tdk,spotify:track:52lQqbiohjKjNlFDJW9tdk,https://api.spotify.com/v1/tracks/52lQqbiohjKjNlFDJW9tdk,https://api.spotify.com/v1/audio-analysis/52lQqbiohjKjNlFDJW9tdk,142222,4
50,Kenny Chesney,American Kids,1dgWTMoHwTUnQhOQ8SR5fV,73,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,audio_features,1dgWTMoHwTUnQhOQ8SR5fV,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,https://api.spotify.com/v1/tracks/1dgWTMoHwTUnQhOQ8SR5fV,https://api.spotify.com/v1/audio-analysis/1dgWTMoHwTUnQhOQ8SR5fV,182960,4
51,Andrew Peterson,The Silence of God - 2014 Version,63yPL9q0AkXl2viQ6HTyRb,20,0.573,0.238,2,-14.476,1,0.0413,0.468,0.0,0.126,0.344,125.983,audio_features,63yPL9q0AkXl2viQ6HTyRb,spotify:track:63yPL9q0AkXl2viQ6HTyRb,https://api.spotify.com/v1/tracks/63yPL9q0AkXl2viQ6HTyRb,https://api.spotify.com/v1/audio-analysis/63yPL9q0AkXl2viQ6HTyRb,229960,4
52,5 Seconds of Summer,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,73,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,audio_features,1gugDOSMREb34Xo0c1PlxM,spotify:track:1gugDOSMREb34Xo0c1PlxM,https://api.spotify.com/v1/tracks/1gugDOSMREb34Xo0c1PlxM,https://api.spotify.com/v1/audio-analysis/1gugDOSMREb34Xo0c1PlxM,202496,4
53,Dj Madnes,Beat 2014,2FK3WI6jeqwvw2MzeuKcrb,11,0.887,0.454,2,-13.355,1,0.0919,1.89e-05,0.821,0.112,0.473,97.028,audio_features,2FK3WI6jeqwvw2MzeuKcrb,spotify:track:2FK3WI6jeqwvw2MzeuKcrb,https://api.spotify.com/v1/tracks/2FK3WI6jeqwvw2MzeuKcrb,https://api.spotify.com/v1/audio-analysis/2FK3WI6jeqwvw2MzeuKcrb,195973,4
54,Sam Smith,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,83,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,audio_features,7795WJLVKJoAyVoOtCWqXN,spotify:track:7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN,https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN,239317,4
55,deadmau5,Strobe - Michael Woods 2014 Remix,04zMbsnom1lK2IHJhCjW9j,20,0.49,0.945,8,-3.741,0,0.327,0.000881,0.106,0.626,0.222,126.0,audio_features,04zMbsnom1lK2IHJhCjW9j,spotify:track:04zMbsnom1lK2IHJhCjW9j,https://api.spotify.com/v1/tracks/04zMbsnom1lK2IHJhCjW9j,https://api.spotify.com/v1/audio-analysis/04zMbsnom1lK2IHJhCjW9j,431935,4
56,Cody Johnson,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z,72,0.588,0.807,2,-3.426,1,0.0283,0.0835,0.0,0.109,0.674,110.014,audio_features,4rW9EUFaMSNVY8JhbqrB6z,spotify:track:4rW9EUFaMSNVY8JhbqrB6z,https://api.spotify.com/v1/tracks/4rW9EUFaMSNVY8JhbqrB6z,https://api.spotify.com/v1/audio-analysis/4rW9EUFaMSNVY8JhbqrB6z,156200,4
57,Leon Alvarado,The 2014 Microcosm,3bScemclRMvZq9CgUpsw0N,4,0.543,0.316,10,-15.58,1,0.0371,0.532,0.848,0.0932,0.0949,179.935,audio_features,3bScemclRMvZq9CgUpsw0N,spotify:track:3bScemclRMvZq9CgUpsw0N,https://api.spotify.com/v1/tracks/3bScemclRMvZq9CgUpsw0N,https://api.spotify.com/v1/audio-analysis/3bScemclRMvZq9CgUpsw0N,295810,4
58,Maroon 5,Sugar,2iuZJX9X9P0GKaE93xcPjk,81,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,audio_features,2iuZJX9X9P0GKaE93xcPjk,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,235493,4
59,Rogue,Motion - 2014,6dueHEeoj9L8Nb8aJ918Sa,22,0.547,0.892,4,-4.663,0,0.052,0.00493,0.000478,0.165,0.387,152.967,audio_features,6dueHEeoj9L8Nb8aJ918Sa,spotify:track:6dueHEeoj9L8Nb8aJ918Sa,https://api.spotify.com/v1/tracks/6dueHEeoj9L8Nb8aJ918Sa,https://api.spotify.com/v1/audio-analysis/6dueHEeoj9L8Nb8aJ918Sa,238431,4
60,Michael Jackson,Chicago,5BKKy9fIJL5uM9fz1SnqyP,76,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,audio_features,5BKKy9fIJL5uM9fz1SnqyP,spotify:track:5BKKy9fIJL5uM9fz1SnqyP,https://api.spotify.com/v1/tracks/5BKKy9fIJL5uM9fz1SnqyP,https://api.spotify.com/v1/audio-analysis/5BKKy9fIJL5uM9fz1SnqyP,245507,4
61,Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
62,Sam Hunt,House Party,1TwLKNsCnhi1HxbIi4bAW0,73,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,audio_features,1TwLKNsCnhi1HxbIi4bAW0,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/audio-analysis/1TwLKNsCnhi1HxbIi4bAW0,190240,4
63,Nitro Fun,Easter Egg - 2014,4f28O1tOHmMCRnJdO36z2a,21,0.814,0.766,6,-3.625,0,0.148,0.00192,0.749,0.531,0.608,127.968,audio_features,4f28O1tOHmMCRnJdO36z2a,spotify:track:4f28O1tOHmMCRnJdO36z2a,https://api.spotify.com/v1/tracks/4f28O1tOHmMCRnJdO36z2a,https://api.spotify.com/v1/audio-analysis/4f28O1tOHmMCRnJdO36z2a,204375,4
64,Mitski,Francis Forever,5411TEB6tlzvuF5A4oyldr,77,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,audio_features,5411TEB6tlzvuF5A4oyldr,spotify:track:5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/tracks/5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/audio-analysis/5411TEB6tlzvuF5A4oyldr,149680,4
65,2003 Toyota Corolla,2014 Toyota Corolla,0roc7ShQpXDQlsfncOcerq,13,0.102,0.164,1,-23.475,0,0.0391,0.974,0.921,0.0945,0.0357,67.08,audio_features,0roc7ShQpXDQlsfncOcerq,spotify:track:0roc7ShQpXDQlsfncOcerq,https://api.spotify.com/v1/tracks/0roc7ShQpXDQlsfncOcerq,https://api.spotify.com/v1/audio-analysis/0roc7ShQpXDQlsfncOcerq,749707,4
66,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,77,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,audio_features,7t2bFihaDvhIrd2gn2CWJO,spotify:track:7t2bFihaDvhIrd2gn2CWJO,https://api.spotify.com/v1/tracks/7t2bFihaDvhIrd2gn2CWJO,https://api.spotify.com/v1/audio-analysis/7t2bFihaDvhIrd2gn2CWJO,242983,4
67,Andrew Peterson,No More Faith - 2014 Version,4PmHkAbHAIE0xqxIEyalEB,16,0.374,0.612,10,-7.09,1,0.0358,0.0253,0.0,0.109,0.365,165.861,audio_features,4PmHkAbHAIE0xqxIEyalEB,spotify:track:4PmHkAbHAIE0xqxIEyalEB,https://api.spotify.com/v1/tracks/4PmHkAbHAIE0xqxIEyalEB,https://api.spotify.com/v1/audio-analysis/4PmHkAbHAIE0xqxIEyalEB,254960,4
68,Young Money,Trophies,6HfOzLLjsaXsehIFEsrxTk,74,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,audio_features,6HfOzLLjsaXsehIFEsrxTk,spotify:track:6HfOzLLjsaXsehIFEsrxTk,https://api.spotify.com/v1/tracks/6HfOzLLjsaXsehIFEsrxTk,https://api.spotify.com/v1/audio-analysis/6HfOzLLjsaXsehIFEsrxTk,188320,4
69,DJ Remix Factory,Timber (Remix),1ytzSaHbR4kv4DvGrWcGQn,20,0.695,0.914,8,-5.216,0,0.0357,0.0172,0.0,0.0352,0.969,129.959,audio_features,1ytzSaHbR4kv4DvGrWcGQn,spotify:track:1ytzSaHbR4kv4DvGrWcGQn,https://api.spotify.com/v1/tracks/1ytzSaHbR4kv4DvGrWcGQn,https://api.spotify.com/v1/audio-analysis/1ytzSaHbR4kv4DvGrWcGQn,296800,4
70,Tove Lo,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,73,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,audio_features,14OxJlLdcHNpgsm4DRwDOB,spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/tracks/14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/audio-analysis/14OxJlLdcHNpgsm4DRwDOB,209160,4
71,Mac Dre,And What Is Ya Name - 2014 Mix,6yAlXZOhUfmEzpfL7UwIS0,15,0.508,0.707,9,-5.373,0,0.342,0.694,0.0,0.108,0.543,95.917,audio_features,6yAlXZOhUfmEzpfL7UwIS0,spotify:track:6yAlXZOhUfmEzpfL7UwIS0,https://api.spotify.com/v1/tracks/6yAlXZOhUfmEzpfL7UwIS0,https://api.spotify.com/v1/audio-analysis/6yAlXZOhUfmEzpfL7UwIS0,266293,4
72,Sam Smith,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,81,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724,4
73,Charts Hits 2014,Prayer in C,69PvMZUWhkbbKdRVsU4YOv,36,0.743,0.872,0,-6.428,1,0.0314,0.0329,5.44e-06,0.152,0.942,123.0,audio_features,69PvMZUWhkbbKdRVsU4YOv,spotify:track:69PvMZUWhkbbKdRVsU4YOv,https://api.spotify.com/v1/tracks/69PvMZUWhkbbKdRVsU4YOv,https://api.spotify.com/v1/audio-analysis/69PvMZUWhkbbKdRVsU4YOv,192748,4
74,Pharrell Williams,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,81,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,60nZcImufyMA1MKQY3dcCH,spotify:track:60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,232720,4
75,William Elliott Whitmore,Take It on the Chin,7hgIVl62rUttcl21qepMi2,20,0.588,0.453,0,-7.659,1,0.0522,0.8,0.0,0.066,0.778,152.199,audio_features,7hgIVl62rUttcl21qepMi2,spotify:track:7hgIVl62rUttcl21qepMi2,https://api.spotify.com/v1/tracks/7hgIVl62rUttcl21qepMi2,https://api.spotify.com/v1/audio-analysis/7hgIVl62rUttcl21qepMi2,149053,4
