,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
569,2015 Love Songs,Lean On,00O8OLXnZ1DqI9WOkRwU8u,0,0.699,0.764,7,-5.771,0,0.0435,0.00328,9.32e-05,0.116,0.133,98.055,audio_features,00O8OLXnZ1DqI9WOkRwU8u,spotify:track:00O8OLXnZ1DqI9WOkRwU8u,https://api.spotify.com/v1/tracks/00O8OLXnZ1DqI9WOkRwU8u,https://api.spotify.com/v1/audio-analysis/00O8OLXnZ1DqI9WOkRwU8u,176000,4
570,Tory Lanez,In For It,6ydWxkzjDktHsTzvWcaZ1i,69,0.383,0.531,5,-7.814,0,0.0741,0.0753,0.000102,0.108,0.0375,105.971,audio_features,6ydWxkzjDktHsTzvWcaZ1i,spotify:track:6ydWxkzjDktHsTzvWcaZ1i,https://api.spotify.com/v1/tracks/6ydWxkzjDktHsTzvWcaZ1i,https://api.spotify.com/v1/audio-analysis/6ydWxkzjDktHsTzvWcaZ1i,293307,4
571,Bread,Make It with You - 2015 Japan Remaster,1jP2fH9A1uxXcYTAtawYDT,9,0.614,0.214,4,-16.622,1,0.0266,0.796,0.00769,0.0852,0.462,83.67,audio_features,1jP2fH9A1uxXcYTAtawYDT,spotify:track:1jP2fH9A1uxXcYTAtawYDT,https://api.spotify.com/v1/tracks/1jP2fH9A1uxXcYTAtawYDT,https://api.spotify.com/v1/audio-analysis/1jP2fH9A1uxXcYTAtawYDT,198240,4
572,Pia Mia,Do It Again,72Bz4ciRZPBcVSw0nrZDHi,74,0.712,0.564,8,-6.527,1,0.047,0.0266,0.0,0.0874,0.411,95.95,audio_features,72Bz4ciRZPBcVSw0nrZDHi,spotify:track:72Bz4ciRZPBcVSw0nrZDHi,https://api.spotify.com/v1/tracks/72Bz4ciRZPBcVSw0nrZDHi,https://api.spotify.com/v1/audio-analysis/72Bz4ciRZPBcVSw0nrZDHi,207747,4
576,Cepia,Year To Year,47vLLtDn9XSzp8PHmMjODa,2,0.769,0.859,7,-7.322,1,0.139,0.0779,0.732,0.156,0.567,100.012,audio_features,47vLLtDn9XSzp8PHmMjODa,spotify:track:47vLLtDn9XSzp8PHmMjODa,https://api.spotify.com/v1/tracks/47vLLtDn9XSzp8PHmMjODa,https://api.spotify.com/v1/audio-analysis/47vLLtDn9XSzp8PHmMjODa,222680,4
577,Daniel Caesar,Streetcar,7Cu2COdH93MnuireuKNiS3,68,0.41,0.298,3,-11.796,1,0.0473,0.721,0.0,0.158,0.142,109.651,audio_features,7Cu2COdH93MnuireuKNiS3,spotify:track:7Cu2COdH93MnuireuKNiS3,https://api.spotify.com/v1/tracks/7Cu2COdH93MnuireuKNiS3,https://api.spotify.com/v1/audio-analysis/7Cu2COdH93MnuireuKNiS3,246972,3
578,David Bowie,Space Oddity - UK Mono Single Edit; 2015 Remaster,1jc1pjS2K5rjGILNO0C9tW,16,0.328,0.536,0,-8.7,1,0.0385,0.189,7.1e-05,0.0982,0.456,135.457,audio_features,1jc1pjS2K5rjGILNO0C9tW,spotify:track:1jc1pjS2K5rjGILNO0C9tW,https://api.spotify.com/v1/tracks/1jc1pjS2K5rjGILNO0C9tW,https://api.spotify.com/v1/audio-analysis/1jc1pjS2K5rjGILNO0C9tW,282707,4
579,Demi Lovato,Confident,3DXXKDbbZKyAZfNb96ST3q,71,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,audio_features,3DXXKDbbZKyAZfNb96ST3q,spotify:track:3DXXKDbbZKyAZfNb96ST3q,https://api.spotify.com/v1/tracks/3DXXKDbbZKyAZfNb96ST3q,https://api.spotify.com/v1/audio-analysis/3DXXKDbbZKyAZfNb96ST3q,205746,4
580,2015 Love Songs,Touch,5UCIMVGktmvFlZcZDMIFQQ,0,0.748,0.692,0,-8.076,1,0.063,0.728,3.43e-05,0.105,0.416,89.973,audio_features,5UCIMVGktmvFlZcZDMIFQQ,spotify:track:5UCIMVGktmvFlZcZDMIFQQ,https://api.spotify.com/v1/tracks/5UCIMVGktmvFlZcZDMIFQQ,https://api.spotify.com/v1/audio-analysis/5UCIMVGktmvFlZcZDMIFQQ,216333,4
581,Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),0hy1SOTEn9ifXTzOwnCwEr,68,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,audio_features,0hy1SOTEn9ifXTzOwnCwEr,spotify:track:0hy1SOTEn9ifXTzOwnCwEr,https://api.spotify.com/v1/tracks/0hy1SOTEn9ifXTzOwnCwEr,https://api.spotify.com/v1/audio-analysis/0hy1SOTEn9ifXTzOwnCwEr,223973,4
